Section ;Start;End;AvgDry;AvgWet
TC1;0;1.676;30;30
;1.676;2.1;20;20
;2.1;3.329;45;40
;3.329;8.206;29.99;29.99
;;;;
TC2;0;3.185;49.99;45
;3.185;3.725;30;30
;3.725;5.326;49.99;45
;5.326;5.718;30;30
;5.718;10.78;49.99;45
;10.78;11.712;25;25
;11.712;13.392;45;40
;13.392;14.099;30;30
;14.099;15.284;45;40
;15.284;15.839;40;40
;15.839;16.72;45;40
;;;;
TC3;0;4.616;49.99;45
;4.616;4.874;30;30
;4.874;18.074;49.99;45
;18.074;18.288;30;30
;18.288;19.051;49.99;45
;;;;
TC4;0;0.398;30;30
;0.398;4.882;49.99;45
;4.882;5.473;30;30
;5.473;8.544;49.99;45
;8.544;10.672;40;40
;10.672;11.086;30;30
;;;;
TC5;0;4.617;40;40
;4.617;5.421;30;30
;5.421;5.646;20;20
;5.646;6.474;30;30
;6.474;8.486;45;40
;8.486;8.684;15;15
;8.684;12.03;40;40
;;;;
TC6;0;16.214;49.99;45
;;;;
TC7;0;10.189;45;40
;10.189;14.973;49.99;45
;;;;
TC8;0;3.092;49.99;45
;3.092;8.542;47;42
;;;;
TC9;0;8.246;49.99;45
;8.246;14.818;45;40
;14.818;26.655;49.99;45
;;;;
TC10;0;2.916;40;40
;;;;
TC11;0;0.872;35;30
;0.872;1.238;20;20
;1.238;2.69;30;30
;2.69;4.428;45;40
;4.428;5.223;30;30
;5.223;5.659;35;35
;5.659;7.641;40;40
;7.641;10.739;49.99;45
